0,0,0,64,64,64,64,0,0.67782,1
19,0,19,64,83,64,83,0,0.15799,1
38,0,38,64,102,64,102,0,0.04708,1
57,0,57,64,121,64,121,0,0.06522,1
76,0,76,64,140,64,140,0,0.22531,1
96,0,96,64,160,64,160,0,0.71537,1
115,0,115,64,179,64,179,0,0.80475,1
134,0,134,64,198,64,198,0,0.11767,1
153,0,153,64,217,64,217,0,0.06549,1
172,0,172,64,236,64,236,0,0.0073,1
191,0,191,64,255,64,255,0,0.02775,1
211,0,211,64,275,64,275,0,0.22613,1
230,0,230,64,294,64,294,0,0.15995,1
249,0,249,64,313,64,313,0,0.18252,1
268,0,268,64,332,64,332,0,0.09117,1
287,0,287,64,351,64,351,0,0.10492,1
307,0,307,64,371,64,371,0,0.03733,1
326,0,326,64,390,64,390,0,0.01785,1
345,0,345,64,409,64,409,0,0.03211,1
364,0,364,64,428,64,428,0,0.07427,1
383,0,383,64,447,64,447,0,0.08081,1
403,0,403,64,467,64,467,0,0.23416,1
422,0,422,64,486,64,486,0,0.08532,1
441,0,441,64,505,64,505,0,0.30435,1
460,0,460,64,524,64,524,0,0.07237,1
479,0,479,64,543,64,543,0,0.02097,1
499,0,499,64,563,64,563,0,0.01612,1
518,0,518,64,582,64,582,0,0.02915,1
537,0,537,64,601,64,601,0,0.0202,1
556,0,556,64,620,64,620,0,0.02284,1
576,0,576,64,640,64,640,0,0.05572,1
595,0,595,64,659,64,659,0,0.04028,1
614,0,614,64,678,64,678,0,0.14295,1
633,0,633,64,697,64,697,0,0.09265,1
652,0,652,64,716,64,716,0,0.08129,1
672,0,672,64,736,64,736,0,0.14844,1
691,0,691,64,755,64,755,0,0.24887,1
710,0,710,64,774,64,774,0,0.21708,1
729,0,729,64,793,64,793,0,0.07114,1
748,0,748,64,812,64,812,0,0.04993,1
768,0,768,64,832,64,832,0,0.02477,1
787,0,787,64,851,64,851,0,0.01323,1
806,0,806,64,870,64,870,0,0.03801,1
825,0,825,64,889,64,889,0,0.11405,1
844,0,844,64,908,64,908,0,0.31184,1
864,0,864,64,928,64,928,0,0.16713,1
883,0,883,64,947,64,947,0,0.04885,1
902,0,902,64,966,64,966,0,0.03241,1
921,0,921,64,985,64,985,0,0.02237,1
940,0,940,64,1004,64,1004,0,0.01373,1
960,0,960,64,1024,64,1024,0,0.01741,1
979,0,979,64,1043,64,1043,0,0.10069,1
998,0,998,64,1062,64,1062,0,0.13316,1
1017,0,1017,64,1081,64,1081,0,0.14482,1
1036,0,1036,64,1100,64,1100,0,0.0391,1
1056,0,1056,64,1120,64,1120,0,0.00503,1
1075,0,1075,64,1139,64,1139,0,0.00253,1
1094,0,1094,64,1158,64,1158,0,0.00451,1
1113,0,1113,64,1177,64,1177,0,0.03107,1
1132,0,1132,64,1196,64,1196,0,0.02934,1
1152,0,1152,64,1216,64,1216,0,0.34831,1
1171,0,1171,64,1235,64,1235,0,0.38617,1
1190,0,1190,64,1254,64,1254,0,0.70448,1
1209,0,1209,64,1273,64,1273,0,0.47928,1
1228,0,1228,64,1292,64,1292,0,0.12288,1
1248,0,1248,64,1312,64,1312,0,0.06498,1
1267,0,1267,64,1331,64,1331,0,0.04461,1
1286,0,1286,64,1350,64,1350,0,0.04142,1
1305,0,1305,64,1369,64,1369,0,0.03164,1
1324,0,1324,64,1388,64,1388,0,0.04982,1
1344,0,1344,64,1408,64,1408,0,0.01124,1
1363,0,1363,64,1427,64,1427,0,0.00913,1
1382,0,1382,64,1446,64,1446,0,0.0311,1
1401,0,1401,64,1465,64,1465,0,0.09133,1
1420,0,1420,64,1484,64,1484,0,0.38048,1
1440,0,1440,64,1504,64,1504,0,0.41763,1
1459,0,1459,64,1523,64,1523,0,0.37038,1
1478,0,1478,64,1542,64,1542,0,0.21941,1
1497,0,1497,64,1561,64,1561,0,0.39462,1
1516,0,1516,64,1580,64,1580,0,0.26425,1
1536,0,1536,64,1600,64,1600,0,0.43111,1
1555,0,1555,64,1619,64,1619,0,0.13142,1
1574,0,1574,64,1638,64,1638,0,0.23494,1
1593,0,1593,64,1657,64,1657,0,0.11848,1
1612,0,1612,64,1676,64,1676,0,0.11601,1
1632,0,1632,64,1696,64,1696,0,0.02167,1
1651,0,1651,64,1715,64,1715,0,0.05644,1
1670,0,1670,64,1734,64,1734,0,0.02074,1
1689,0,1689,64,1753,64,1753,0,0.04184,1
1708,0,1708,64,1772,64,1772,0,0.07598,1
1728,0,1728,64,1792,64,1792,0,0.03503,1
1747,0,1747,64,1811,64,1811,0,0.02491,1
1766,0,1766,64,1830,64,1830,0,0.04771,1
1785,0,1785,64,1849,64,1849,0,0.05234,1
1804,0,1804,64,1868,64,1868,0,0.10519,1
1824,0,1824,64,1888,64,1888,0,0.09053,1
1843,0,1843,64,1907,64,1907,0,0.09604,1
1862,0,1862,64,1926,64,1926,0,0.02737,1
0,19,0,83,64,83,64,19,0.31276,1
19,19,19,83,83,83,83,19,0.44213,1
38,19,38,83,102,83,102,19,0.03616,1
